sentence_id	sentence	ref	sent_order
NA	NA	NA	NA
86047	Hac divisione cum praeterire aliquid maximum vitium in dividendo sit duo praetermissa sunt	Cic.Off.1.10	5421
86049	Ita quam ille triplicem putavit esse rationem in quinque partes distribui debere reperitur	Cic.Off.1.10	5422
86051	Principio generi animantium omni est a natura tributum ut se vitam corpus que tueatur declinet ea quae nocitura videantur omnia que quae sint ad vivendum necessaria anquirat et paret ut pastum ut latibula ut alia generis eiusdem	Cic.Off.1.11	5424
86052	Commune item animantium omnium est coniunctionis adpetitus procreandi causa et cura quaedam eorum quae procreata sint	Cic.Off.1.11	5425
86053	sed inter hominem et beluam hoc maxime interest quod haec tantum quantum sensu movetur ad id solum quod adest quod que praesens est se accommodat paulum admodum sentiens praeteritum aut futurum	Cic.Off.1.11	5426
86054	homo autem quod rationis est particeps per quam consequentia cernit causas rerum videt earum que praegressus et quasi antecessiones non ignorat	Cic.Off.1.11	5427
88124	similitudines comparat rebus que praesentibus adiungit atque annectit futuras	Cic.Off.1.11	5428
88125	facile totius vitae cursum videt ad eam que degendam praeparat res necessarias	Cic.Off.1.11	5429
86055	Eadem que natura vi rationis hominem conciliat homini et ad orationis et ad vitae societatem ingenerat que in primis praecipuum quendam amorem in eos qui procreati sunt impellit que ut hominum coetus et celebrationes et esse et a se obiri velit ob eas que causas studeat parare ea quae suppeditent ad cultum et ad victum ne c sibi soli sed coniugi liberis ceteris que quos caros habeat tueri que debeat	Cic.Off.1.12	5430
86056	quae cura exsuscitat etiam animos et maiores ad rem gerendam facit	Cic.Off.1.12	5431
86057	In primis que hominis est propria veri inquisitio atque investigatio	Cic.Off.1.13	5432
86058	Itaque cum sumus necessariis negotiis curis que vacui tum avemus aliquid videre audire addiscere cognitionem que rerum aut occultarum aut admirabilium ad beate vivendum necessariam ducimus	Cic.Off.1.13	5433
86059	Ex quo intellegitur quod verum simplex sincerum que sit id esse naturae hominis aptissimum	Cic.Off.1.13	5434
86060	Huic veri videndi cupiditati adiuncta est appetitio quaedam principatus ut nemini parere animus bene informatus a natura velit nisi praecipienti aut docenti aut utilitatis causa iuste et legitime imperanti	Cic.Off.1.13	5435
86061	ex quo magnitudo animi exsistit humanarum que rerum contemptio	Cic.Off.1.13	5436
86062	Ne c vero illa parva vis naturae est rationis que quod unum hoc animal sentit quid sit ordo quid sit quod deceat in factis dictis que qui modus	Cic.Off.1.14	5437
86064	Itaque eorum ipsorum quae aspectu sentiuntur nullum aliud animal pulchritudinem venustatem convenientiam partium sentit	Cic.Off.1.14	5438
86065	quam similitudinem natura ratio que ab oculis ad animum transferens multo etiam magis pulchritudinem constantiam ordinem in consiliis factis que conservandam putat cavet que ne quid indecore effeminate ve faciat tum in omnibus et opinionibus et factis ne quid libidinose aut faciat aut cogitet	Cic.Off.1.14	5439
86066	Quibus ex rebus conflatur et efficitur id quod quaerimus honestum quod etiamsi nobilitatum non sit tamen honestum sit quod que vere dicimus etiamsi a nullo laudetur natura esse laudabile	Cic.Off.1.14	5440
86067	Formam quidem ipsam Marce fili et tamquam faciem honesti vides quae si oculis cerneretur mirabiles amores ut ait Plato excitaret sapientiae	Cic.Off.1.15	5441
86068	Sed omne quod est honestum id quattuor partium oritur ex aliqua	Cic.Off.1.15	5442
86069	aut enim in perspicientia veri sollertia que versatur aut in hominum societate tuenda tribuendo que suum cuique et rerum contractarum fide aut in animi excelsi atque invicti magnitudine ac robore aut in omnium quae fiunt quae que dicuntur ordine et modo in quo inest modestia et temperantia	Cic.Off.1.15	5443
86070	Quae quattuor quamquam inter se colligata atque implicata sunt tamen ex singulis certa officiorum genera nascuntur velut ex ea parte quae prima discripta est in qua sapientiam et prudentiam ponimus inest indagatio atque inventio veri eius que virtutis hoc munus est proprium	Cic.Off.1.15	5444
86071	Ut enim quisque maxime perspicit quid in re quaque verissimum sit qui que acutissime et celerrime potest et videre et explicare rationem is prudentissimus et sapientissimus rite haberi solet	Cic.Off.1.16	5445
86073	Quocirca huic quasi materia quam tractet et in qua versetur subiecta est veritas	Cic.Off.1.16	5446
86074	Reliquis autem tribus virtutibus necessitates propositae sunt ad eas res parandas tuendas que quibus actio vitae continetur ut et societas hominum coniunctio que servetur et animi excellentia magnitudo que cum in augendis opibus utilitatibus que et sibi et suis comparandis tum multo magis in his ipsis despiciendis eluceat	Cic.Off.1.17	5447
86075	Ordo autem et constantia et moderatio et ea quae sunt his similia versantur in eo genere ad quod est adhibenda actio quaedam non solum mentis agitatio	Cic.Off.1.17	5448
86076	Iis enim rebus quae tractantur in vita modum quendam et ordinem adhibentes honestatem et decus conservabimus	Cic.Off.1.17	5449
86077	Ex quattuor autem locis in quos honesti naturam vim que divisimus primus ille qui in veri cognitione consistit maxime naturam attingit humanam	Cic.Off.1.18	5450
86078	Omnes enim trahimur et ducimur ad cognitionis et scientiae cupiditatem in qua excellere pulchrum putamus	Cic.Off.1.18	5451
88126	labi autem errare nescire decipi et malum et turpe ducimus	Cic.Off.1.18	5452
86079	In hoc genere et naturali et honesto duo vitia vitanda sunt unum ne incognita pro cognitis habeamus iis que temere assentiamur	Cic.Off.1.18	5453
86080	quod vitium effugere qui volet omnes autem velle debent adhibebit ad considerandas res et tempus et diligentiam	Cic.Off.1.18	5454
86081	Alterum est vitium quod quidam nimis magnum studium multam que operam in res obscuras atque difficiles conferunt easdem que non necessarias	Cic.Off.1.19	5455
86082	Quibus vitiis declinatis quod in rebus honestis et cognitione dignis operae curae que ponetur id iure laudabitur ut in astrologia Gaium Sulpicium audivimus in geometria Sextium Pompeium ipsi cognovimus multos in dialecticis plures in iure civili quae omnes artes in veri investigatione versantur	Cic.Off.1.19	5456
86085	cuius studio a rebus gerendis abduci contra officium est	Cic.Off.1.19	5457
86086	Virtutis enim laus omnis in actione consistit	Cic.Off.1.19	5458
86087	a qua tamen fit intermissio saepe multi que dantur ad studia reditus	Cic.Off.1.19	5459
86088	tum agitatio mentis quae numquam acquiescit potest nos in studiis cognitionis etiam sine opera nostra continere	Cic.Off.1.19	5460
86089	Omnis autem cogitatio motus que animi aut in consiliis capiendis de rebus honestis et pertinentibus ad bene beate que vivendum aut in studiis scientiae cognitionis que versabitur	Cic.Off.1.19	5461
86090	Ac de primo quidem officii fonte diximus	Cic.Off.1.19	5462
86091	De tribus autem reliquis latissime patet ea ratio qua societas hominum inter ipsos et vitae quasi communitas continetur	Cic.Off.1.20	5463
86092	cuius partes duae iustitia in qua virtutis est splendor maximus ex qua viri boni nominantur et huic coniuncta beneficentia quam eandem vel benignitatem vel liberalitatem appellari licet	Cic.Off.1.20	5464
86093	Sed iustitiae primum munus est ut ne cui quis noceat nisi lacessitus iniuria deinde ut communibus pro communibus utatur privatis ut suis	Cic.Off.1.20	5465
86094	Sunt autem privata nulla natura sed aut vetere occupatione ut qui quondam in vacua venerunt aut victoria ut qui bello potiti sunt aut lege pactione condicione sorte	Cic.Off.1.21	5466
86095	ex quo fit ut ager Arpinas Arpinatium dicatur Tusculanus Tusculanorum	Cic.Off.1.21	5467
86096	similis que est privatarum possessionum discriptio	Cic.Off.1.21	5468
86097	Ex quo quia suum cuiusque fit eorum quae natura fuerant communia quod cuique obtigit id quisque teneat	Cic.Off.1.21	5469
86098	e quo si quis sibi appetet violabit ius humanae societatis	Cic.Off.1.21	5470
86099	Sed quoniam ut praeclare scriptum est a Platone non nobis solum nati sumus ortus que nostri partem patria vindicat partem amici atque ut placet Stoicis quae in terris gignantur ad usum hominum omnia creari homines autem hominum causa esse generatos ut ipsi inter se aliis alii prodesse possent in hoc naturam debemus ducem sequi communes utilitates in medium afferre mutatione officiorum dando accipiendo tum artibus tum opera tum facultatibus devincire hominum inter homines societatem	Cic.Off.1.22	5471
86100	Fundamentum autem est iustitiae fides id est dictorum conventorum que constantia et veritas	Cic.Off.1.23	5472
86101	Ex quo quamquam hoc videbitur fortasse cuipiam durius tamen audeamus imitari Stoicos qui studiose exquirunt unde verba sint ducta credamus que quia fiat quod dictum est appellatam fidem	Cic.Off.1.23	5473
86102	Sed iniustitiae genera duo sunt unum eorum qui inferunt alterum eorum qui ab iis quibus infertur si possunt non propulsant iniuriam	Cic.Off.1.23	5474
86103	Nam qui iniuste impetum in quempiam facit aut ira aut aliqua perturbatione incitatus is quasi manus afferre videtur socio	Cic.Off.1.23	5475
86104	qui autem non defendit ne c obsistit si potest iniuriae tam est in vitio quam si parentes aut amicos aut patriam deserat	Cic.Off.1.23	5476
86105	Atque illae quidem iniuriae quae nocendi causa de industria inferuntur saepe a metu proficiscuntur cum is qui nocere alteri cogitat timet ne nisi id fecerit ipse aliquo afficiatur incommodo	Cic.Off.1.24	5477
86106	Maximam autem partem ad iniuriam faciendam aggrediuntur ut adipiscantur ea quae concupiverunt	Cic.Off.1.24	5478
86107	in quo vitio latissime patet avaritia	Cic.Off.1.24	5479
86108	Expetuntur autem divitiae cum ad usus vitae necessarios tum ad perfruendas voluptates	Cic.Off.1.25	5480
86109	In quibus autem maior est animus in iis pecuniae cupiditas spectat ad opes et ad gratificandi facultatem ut nuper Marcus Crassus negabat ullam satis magnam pecuniam esse ei qui in re publica princeps vellet esse cuius fructibus exercitum alere non posset	Cic.Off.1.25	5481
86111	Delectant etiam magnifici apparatus vitae que cultus cum elegantia et copia	Cic.Off.1.25	5482
86112	quibus rebus effectum est ut infinita pecuniae cupiditas esset	Cic.Off.1.25	5483
86113	Ne c vero rei familiaris amplificatio nemini nocens vituperanda est sed fugienda semper iniuria est	Cic.Off.1.25	5484
86114	Maxime autem adducuntur plerique ut eos iustitiae capiat oblivio cum in imperiorum honorum gloriae cupiditatem inciderunt	Cic.Off.1.26	5485
86115	Quod enim est apud Ennium Núlla sancta sócietas Né c fides regni ést id latius patet	Cic.Off.1.26	5486
86118	Nam quicquid eius modi est in quo non possint plures excellere in eo fit plerumque tanta contentio ut difficillimum sit servare sanctam societatem	Cic.Off.1.26	5487
86119	Declaravit id modo temeritas Gaii Caesaris qui omnia iura divina et humana pervertit propter eum quem sibi ipse opinionis errore finxerat principatum	Cic.Off.1.26	5488
86121	Est autem in hoc genere molestum quod in maximis animis splendidissimis que ingeniis plerumque exsistunt honoris imperii potentiae gloriae cupiditates	Cic.Off.1.26	5489
86122	Quo magis cavendum est ne quid in eo genere peccetur	Cic.Off.1.26	5490
