sentence_id	sentence	ref	latintext	translation	translator	sent_order	norm_sentence	norm_text	sameEdition
78524	accepi tuas litteras a.d.quintum Terminalia Laodiceae	Cic.Att.6.1.1	**1** Accepi tuas litteras a. d. V Terminalia Laodiceae,	**1** Recebi tua carta em Laodicéia cinco dias antes das Terminais,	José Dejalma Dezotti	4772	accepi tuas litteras adquintum terminalia laodiceae	accepi tuas litteras a d u terminalia laodiceae	FALSE
85867	quas legi libentissime plenissimas amoris humanitatis offici diligentiae	Cic.Att.6.1.1	quas legi libentissime plenissimas amoris, humanitatis, offici, diligentiae.	a qual li com muitíssimo prazer, tão cheia estava ela de afeto, de humanidade, de dever, de diligência.	José Dejalma Dezotti	4773	quas legi libentissime plenissimas amoris humanitatis offici diligentiae	quas legi libentissime plenissimas amoris humanitatis offici diligentiae	TRUE
78527	iis igitur respondebo non χρύσεα χαλκείων sic enim postulas ne c οἰκονομίαν meam instituam sed ordinem conservabo tuum	Cic.Att.6.1.1	Iis igitur respondebo, (sic enim postulas), nec οἰκονομίαν meam instituam sed ordinem conseruabo tuum.	Vou, pois, respondê-la (pois assim me pedes) e não vou estabelecer o meu próprio *plano*, mas manterei a tua ordem.	José Dejalma Dezotti	4774	iis igitur respondebo non χρσεα χαλκείων sic enim postulas nec οκονομίαν meam instituam sed ordinem conseruabo tuum	iis igitur respondebo sic enim postulas nec οκονομαν meam instituam sed ordinem conseruabo tuum	FALSE
78528	recentissimas a Cybistris te meas litteras habere ais a.d.xi Kalendas Octobris datas et scire vis tuas ego quas acceperim	Cic.Att.6.1.1	Recentissimas a Cybistris te meas litteras habere ais a. d. X Kal. Oct. datas et scire uis tuas ego quas acceperim.	Dizes que tens, como carta mais recente minha, a que foi enviada de Cibistra no décimo dia antes das calendas de outubro \[22 de setembro\] e queres saber quais tuas eu recebi.	José Dejalma Dezotti	4775	recentissimas a cybistris te meas litteras habere ais adxi kalendas octobris datas et scire uis tuas ego quas acceperim	recentissimas a cybistris te meas litteras habere ais a d x kal oct datas et scire uis tuas ego quas acceperim	FALSE
78531	omnis fere quas commemoras praeter eas quas scribis Lentuli pueris et Equotutico et Brundisio datas	Cic.Att.6.1.1	Omnis fere quas commemoras, praeter eas quas scribis Lentuli pueris et quas Equo Tutico et Brundisio datas.	Quase todas que mencionas, exceto aquelas que, segundo escreves, foram entregues aos escravos de Lêntulo e as que foram enviadas de Equo Tutico e Brundísio.	José Dejalma Dezotti	4776	omnis fere quas commemoras praeter eas quas scribis lentuli pueris et equotutico et brundisio datas	omnis fere quas commemoras praeter eas quas scribis lentuli pueris et quas equo tutico et brundisio datas	FALSE
78532	qua re non οἴχεται tua industria quod vereris sed praeclare ponitur si quidem id egisti ut ego delectarer	Cic.Att.6.1.1	Qua re non οἴχεται tua industria, quod uereris, sed praeclare ponitur, si quidem id egisti, ut ego delectarer;	Por isso teu zelo não *está perdido*, como receias, mas se põe magnificamente, se na verdade fizeste isso para que eu me deleitasse;	José Dejalma Dezotti	4777	qua re non οχεται tua industria quod uereris sed praeclare ponitur si quidem id egisti ut ego delectarer	qua re non οχεται tua industria quod uereris sed praeclare ponitur si quidem id egisti ut ego delectarer	TRUE
78533	nam nulla re sum delectatus magis	Cic.Att.6.1.1	nam nulla re sum delectatus magis.	pois com nada eu me deleitei mais.	José Dejalma Dezotti	4778	nam nulla re sum delectatus magis	nam nulla re sum delectatus magis	TRUE
78534	quod meam βαθύτητα in Appio tibi liberalitatem etiam in Bruto probo vehementer gaudeo	Cic.Att.6.1.2	**2** Quod meam βαθύτητα in Appio tibi, liberalitatem etiam in Bruto probo, uehementer gaudeo;	**2** Me alegra muitíssimo que aproves minha *sagacidade* em relação a Ápio, e também a minha generosidade em relação a Bruto;	José Dejalma Dezotti	4779	quod meam βαθτητα in appio tibi liberalitatem etiam in bruto probo uehementer gaudeo	quod meam βαθτητα in appio tibi liberalitatem etiam in bruto probo uehementer gaudeo	TRUE
85868	ac putaram paulo secus	Cic.Att.6.1.2	ac putaram paulo secus.	e eu tinha pensado que ia ser um pouco diferente.	José Dejalma Dezotti	4780	ac putaram paulo secus	ac putaram paulo secus	TRUE
78535	Appius enim ad me ex itinere bis ter ve ὑπομεμψιμοίρους litteras miserat quod quaedam a se constituta rescinderem	Cic.Att.6.1.2	Appius enim ad me ex itinere bis terue ὑπομεμψιμοίρους litteras miserat quod quaedam a se constituta rescinderem.	Pois Ápio, em sua viagem, tinha enviado duas ou três cartas *cheias de queixas*, porque eu tinha anulado algumas coisas estabelecidas por ele.	José Dejalma Dezotti	4781	appius enim ad me ex itinere bis ter ue πομεμψιμοίρους litteras miserat quod quaedam a se constituta rescinderem	appius enim ad me ex itinere bis terue πομεμψιμορους litteras miserat quod quaedam a se constituta rescinderem	FALSE
78537	nihil enim a me fit cum ulla illius contumelia	Cic.Att.6.1.2	Nihil enim a me fit cum ulla illius contumelia;	Pois nada foi feito por mim com qualquer ofensa a ele;	José Dejalma Dezotti	4783	nihil enim a me fit cum ulla illius contumelia	nihil enim a me fit cum ulla illius contumelia	TRUE
