sentence_id	sentence	text_JDD	translation_JDD	norm_sentence	norm_text	isSameText
12667	liber generationis Iesu Christi filii David filii Abraham	1 Liber generationis Iesu Christi, filii Dauid, filii Abraham:	1 Livro da genealogia de Jesus Cristo, filho de Davi, filho de Abraão:	liber generationis iesu christi filii dauid filii abraham	liber generationis iesu christi filii dauid filii abraham	TRUE
12668	Abraham genuit Isaac	2 Abraham genuit Isaac;	2 Abraão gerou Isaque;	abraham genuit isaac	abraham genuit isaac	TRUE
12669	Isaac autem genuit Iacob	Isaac autem genuit Iacob;	Isaque, por sua vez, gerou Jacó;	isaac autem genuit iacob	isaac autem genuit iacob	TRUE
12670	Iacob autem genuit Iudam et fratres eius	Iacob autem genuit Iudam et fratres eius;	Jacó, por sua vez, gerou Judá e seus irmãos;	iacob autem genuit iudam et fratres eius	iacob autem genuit iudam et fratres eius	TRUE
12671	Iudas autem genuit Phares et Zara de Thamar	3 Iudas autem genuit Phares et Zara de Thamar;	3 Judá, por sua vez, gerou Farés e Zara, de Tamar;	iudas autem genuit phares et zara de thamar	iudas autem genuit phares et zara de thamar	TRUE
12672	Phares autem genuit Esrom	Phares autem genuit Esrom;	Fares, por sua vez, gerou Esrom;	phares autem genuit esrom	phares autem genuit esrom	TRUE
12673	Esrom autem genuit Aram	Esrom autem genuit Aram;	Esrom, por sua vez, gerou Arão;	esrom autem genuit aram	esrom autem genuit aram	TRUE
12674	Aram autem genuit Aminadab	4 Aram autem genuit Aminadab;	4 Arão, por sua vez, gerou Aminadab;	aram autem genuit aminadab	aram autem genuit aminadab	TRUE
12675	Aminadab autem genuit Naasson	Aminadab autem genuit Naasson;	Aminadab, por sua vez, gerou Naasson;	aminadab autem genuit naasson	aminadab autem genuit naasson	TRUE
12676	Naasson autem genuit Salmon	Naasson autem genuit Salmon;	Naasson, por sua vez, gerou Salmon;	naasson autem genuit salmon	naasson autem genuit salmon	TRUE
12677	Salmon autem genuit Booz de Rachab	5 Salmon autem genuit Booz de Rachab;	5 Salmon, por sua vez, gerou Booz, de Raab;	salmon autem genuit booz de rachab	salmon autem genuit booz de rachab	TRUE
12678	Booz autem genuit Obed ex Ruth	Booz autem genuit Obed ex Ruth;	Booz, por sua vez, gerou Obed, de Rute;	booz autem genuit obed ex ruth	booz autem genuit obed ex ruth	TRUE
12679	Obed autem genuit Iesse	Obed autem genuit Iesse;	Obed, por sua vez, gerou Jessé;	obed autem genuit iesse	obed autem genuit iesse	TRUE
12680	Iesse autem genuit David regem	Iesse autem genuit Dauid regem;	Jessé, por sua vez, gerou o rei Davi;	iesse autem genuit dauid regem	iesse autem genuit dauid regem	TRUE
12681	David autem rex genuit Salomonem ex ea quae fuit Uriae	6 Dauid autem rex genuit Salomonem ex ea quae fuit Vriae;	6 O rei Davi, por sua vez, gerou Salomão, daquela foi mulher de Urias;	dauid autem rex genuit salomonem ex ea quae fuit uriae	dauid autem rex genuit salomonem ex ea quae fuit uriae	TRUE
12682	Salomon autem genuit Roboam	7 Salomon autem genuit Roboam;	7 Salomão, por sua vez, gerou Roboão;	salomon autem genuit roboam	salomon autem genuit roboam	TRUE
12683	Roboam autem genuit Abiam	Roboam autem genuit Abiam;	Roboão, por sua vez, gerou Abias;	roboam autem genuit abiam	roboam autem genuit abiam	TRUE
12684	Abia autem genuit Asa	Abia autem genuit Asa;	Abias, por sua vez, gerou Asa;	abia autem genuit asa	abia autem genuit asa	TRUE
12685	Asa autem genuit Iosaphat	8 Asa autem genuit Iosaphat;	8 Asa, por sua vez, gerou Josafá;	asa autem genuit iosaphat	asa autem genuit iosaphat	TRUE
12686	Iosaphat autem genuit Ioram	Iosaphat autem genuit Ioram;	Josafá, por sua vez, gerou Jorão;	iosaphat autem genuit ioram	iosaphat autem genuit ioram	TRUE
12687	Ioram autem genuit Oziam	Ioram autem genuit Oziam;	Jorão, por sua vez, gerou Ozias;	ioram autem genuit oziam	ioram autem genuit oziam	TRUE
12688	Ozias autem genuit Ioatham	9 Ozias autem genuit Ioatham;	9 Ozias, por sua vez, gerou Joatão;	ozias autem genuit ioatham	ozias autem genuit ioatham	TRUE
12689	Ioatham autem genuit Achaz	Ioatham autem genuit Achaz;	Joatão, por sua vez, gerou Acaz;	ioatham autem genuit achaz	ioatham autem genuit achaz	TRUE
12690	Achaz autem genuit Ezechiam	Achaz autem genuit Ezechiam;	Acaz, por sua vez, gerou Ezequias;	achaz autem genuit ezechiam	achaz autem genuit ezechiam	TRUE
12691	Ezechias autem genuit Manassen	10 Ezechias autem genuit Manassen;	10 Ezequias, por sua vez, gerou Manassés;	ezechias autem genuit manassen	ezechias autem genuit manassen	TRUE
12692	Manasses autem genuit Amon	Manasses autem genuit Amon;	Manassés, por sua vez, gerou Amon;	manasses autem genuit amon	manasses autem genuit amon	TRUE
12693	Amon autem genuit Iosiam	Amon autem genuit Iosiam;	Amon, por sua vez, gerou Josias;	amon autem genuit iosiam	amon autem genuit iosiam	TRUE
12694	Iosias autem genuit Iechoniam et fratres eius in transmigratione Babylonis	11 Iosias autem genuit Iechoniam et fratres eius in transmigratione Babylonis.	11 Josias, por sua vez, gerou Jeconias e seus irmãos na época do exílio para a Babilônia.	iosias autem genuit iechoniam et fratres eius in transmigratione babylonis	iosias autem genuit iechoniam et fratres eius in transmigratione babylonis	TRUE
12695	et post transmigrationem Babylonis Iechonias genuit Salathihel	12 Et post transmigrationem Babylonis: Iechonias genuit Salathihel;	12 E após o exílio para a Babilônia: Jeconias gerou Salatiel;	et post transmigrationem babylonis iechonias genuit salathihel	et post transmigrationem babylonis iechonias genuit salathihel	TRUE
