latintext	translation
Marcus Tullius Cicero Epistulae ad Atticum – Liber VI TRADUÇÃO:	Cícero Cartas a Ático – Livro 6 TRADUÇÃO:
José Dejalma Dezotti 1 Cicero Attico sal.	José Dejalma Dezotti 1 Cícero saúda Ático.
1 Accepi tuas litteras a.	1 Recebi tua carta em Laodicéia cinco dias antes das Terminais, a qual li com muitíssimo prazer, tão cheia estava ela de afeto, de humanidade, de dever, de diligência.
d.	Vou, pois, respondê-la (pois assim me pedes) e não vou estabelecer o meu próprio plano, mas manterei a tua ordem.
V Terminalia Laodiceae, quas legi libentissime plenissimas amoris, humanitatis, offici, diligentiae.	Dizes que tens, como carta mais recente minha, a que foi enviada de Cibistra no décimo dia antes das calendas de outubro [22 de setembro] e queres saber quais tuas eu recebi.
Iis igitur respondebo, (sic enim postulas), nec οἰκονομίαν meam instituam sed ordinem conseruabo tuum.	Quase todas que mencionas, exceto aquelas que, segundo escreves, foram entregues aos escravos de Lêntulo e as que foram enviadas de Equo Tutico e Brundísio.
Recentissimas a Cybistris te meas litteras habere ais a.	Por isso teu zelo não está perdido, como receias, mas se põe magnificamente, se na verdade fizeste isso para que eu me deleitasse;
d.	pois com nada eu me deleitei mais.
X Kal.	2 Me alegra muitíssimo que aproves minha sagacidade em relação a Ápio, e também a minha generosidade em relação a Bruto;
Oct.	e eu tinha pensado que ia ser um pouco diferente.
datas et scire uis tuas ego quas acceperim.	Pois Ápio, em sua viagem, tinha enviado duas ou três cartas cheias de queixas, porque eu tinha anulado algumas coisas estabelecidas por ele.
Omnis fere quas commemoras, praeter eas quas scribis Lentuli pueris et quas Equo Tutico et Brundisio datas.	Assim como se um médico, quando o doente foi confiado a outro médico, quisesse irritar-se com esse médico que o sucedeu, caso ele mude algo que ele próprio estabeleceu para curá-lo, assim também Ápio, depois de ter cuidado da província mediante extirpações, de tê-la sangrado, de ter roubado tudo o que pôde, de tê-la entregado a mim esgotada, não vê de bom grado ela sendo revigorada de novo por mim, mas ora fica irritado, ora me agradece.
Qua re non οἴχεται tua industria, quod uereris, sed praeclare ponitur, si quidem id egisti, ut ego delectarer;	Pois nada foi feito por mim com qualquer ofensa a ele;
nam nulla re sum delectatus magis.	somente a diferença de meu método ofende o homem.
2 Quod meam βαθύτητα in Appio tibi, liberalitatem etiam in Bruto probo, uehementer gaudeo;	Pois o que pode ser tão diferente quanto a província ter sido arruinada com gastos e despesas, enquanto ele a governava, quando nós a obtivemos, não ter sido gasta nenhuma moeda nem privadamente nem públicamente?
ac putaram paulo secus.	O que vou dizer ainda de seus prefeitos, acompanhantes, legados?
Appius enim ad me ex itinere bis terue ὑπομεμψιμοίρους litteras miserat quod quaedam a se constituta rescinderem.	Das rapinas, das paixões, das ofensas?
Vt si medicus, cum aegrotus alii medico traditus sit, irasci uelit ei medico qui sibi successerit si quae ipse in curando constituerit immutet ille, sic Appius, cum ἐξ ἀφαιρέσεως prouinciam curarit, sanguinem miserit, quicquid potuit detraxerit, mihi tradiderit enectam, προσανατρεφομένην eam a me non libenter uidet sed modo suscenset, et modo gratias agit.	Já agora nenhuma casa - por hércules - é governada com tanto juízo ou com tanta disciplina ou está tão moderada quanto a nossa província inteira.
Nihil enim a me fit cum ulla illius contumelia;	Alguns amigos de Ápio interpretam isto de modo ridículo:
tantum modo dissimilitudo meae rationis offendit hominem.	eles julgam que eu, neste caso, quero ter boa fama para que ele tenha má e que ajo com retidão não para o meu louvor, mas para a sua desonra.
