sentence_id	ref	author	book	genre	year	sent_order
12841	Vulg.Mat.5.1	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6162
12842	Vulg.Mat.5.3	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6163
12844	Vulg.Mat.5.4	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6164
12846	Vulg.Mat.5.5	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6165
12848	Vulg.Mat.5.6	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6166
12850	Vulg.Mat.5.7	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6167
12852	Vulg.Mat.5.8	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6168
12854	Vulg.Mat.5.9	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6169
12856	Vulg.Mat.5.10	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6170
12858	Vulg.Mat.5.11	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6171
12859	Vulg.Mat.5.12	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6172
12860	Vulg.Mat.5.12	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6173
12861	Vulg.Mat.5.13	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6174
12862	Vulg.Mat.5.13	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6175
12864	Vulg.Mat.5.14	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6176
12865	Vulg.Mat.5.14	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6177
12866	Vulg.Mat.5.16	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6178
12868	Vulg.Mat.5.17	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6179
12869	Vulg.Mat.5.17	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6180
12870	Vulg.Mat.5.18	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6181
62914	Vulg.Mat.5.18	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6182
12871	Vulg.Mat.5.19	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6183
12872	Vulg.Mat.5.19	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6184
12873	Vulg.Mat.5.20	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6185
12874	Vulg.Mat.5.21	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6186
12875	Vulg.Mat.5.21	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6187
12876	Vulg.Mat.5.21	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6188
12877	Vulg.Mat.5.22	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6189
12878	Vulg.Mat.5.22	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6190
12879	Vulg.Mat.5.22	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6191
12881	Vulg.Mat.5.22	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6192
12883	Vulg.Mat.5.23	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6193
12885	Vulg.Mat.5.24	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6194
12886	Vulg.Mat.5.25	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6195
12889	Vulg.Mat.5.26	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6196
62915	Vulg.Mat.5.26	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6197
12890	Vulg.Mat.5.27	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6198
12891	Vulg.Mat.5.27	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6199
12892	Vulg.Mat.5.28	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6200
12893	Vulg.Mat.5.28	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6201
12894	Vulg.Mat.5.29	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6202
12895	Vulg.Mat.5.29	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6203
12896	Vulg.Mat.5.30	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6204
12897	Vulg.Mat.5.30	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6205
12898	Vulg.Mat.5.31	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6206
12899	Vulg.Mat.5.31	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6207
12900	Vulg.Mat.5.32	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6208
12901	Vulg.Mat.5.32	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6209
12902	Vulg.Mat.5.32	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6210
12903	Vulg.Mat.5.33	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6211
12904	Vulg.Mat.5.33	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6212
12905	Vulg.Mat.5.33	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6213
12906	Vulg.Mat.5.34	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6214
12910	Vulg.Mat.5.37	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6215
12912	Vulg.Mat.5.37	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6216
12913	Vulg.Mat.5.38	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6217
12914	Vulg.Mat.5.38	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6218
12915	Vulg.Mat.5.39	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6219
12916	Vulg.Mat.5.39	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6220
12917	Vulg.Mat.5.40	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6221
12918	Vulg.Mat.5.41	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6222
12919	Vulg.Mat.5.42	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6223
12920	Vulg.Mat.5.42	Hieronymus	Evangelium secundum Matthaeum	Fiction	400	6224
