sent_id	translation_JDD	DIFF
OviExPont-CLL-0001	Nasão, habitante já não novo da terra de Tomos, envia esta obra a ti do litoral gético.	
OviExPont-CLL-0002	Se estás desocupado, Bruto, recebe com hospitalidade estes livrinhos estrangeiros e enconde-os em algum lugar de teu agrado.	*
OviExPont-CLL-0003	Eles não ousam chegar entre as obras públicas, com receio de que seu autor lhes tenha fechado este acesso.	*
OviExPont-CLL-0004	Ah, quantas vezes eu disse: Por certo não ensinais nada torpe; ide, está aberto aquele local de castos versos.”""	
OviExPont-CLL-0005	Eles, contudo, não vão; mas, como tu próprio vês, eles consideram que é mais seguro esconder-se sob um Lar particular.""	*
OviExPont-CLL-0006	Queres saber onde podes colocá-los sem que nenhum outro fique danificado?	
OviExPont-CLL-0007	Tens vazia aquela parte em que estava a minha Arte.	
OviExPont-CLL-0008	Talvez, diante da própria novidade, perguntes por que chegam.	
OviExPont-CLL-0009	Recebe-os, seja qual for o conteúdo, desde que não seja o amor.	
OviExPont-CLL-0010	Descobrirás que, ainda que seu título não desperte compaixão, esta obra não é menos triste do que aquela que publiquei antes.	
OviExPont-CLL-0011	O mesmo nos assuntos, diferente no título; e a carta, com o nome não ocultado, mostra para quem é enviada.""	
OviExPont-CLL-0012	E vós não quereis isto, mas não podeis impedir	
OviExPont-CLL-0013	e minha Musa vem em homenagem a vós, mesmo que contra a vossa vontade.	
OviExPont-CLL-0014	O que quer que seja, acrescenta-a às minhas:	
OviExPont-CLL-0015	nada impede que os filhos de um exilado desfrute de Roma, observadas as leis.	*
OviExPont-CLL-0016	Não há o que temeres:	
OviExPont-CLL-0017	Os escritos de Antônio são lidos. O douto Bruto também tem à disposição as caixas.	
OviExPont-CLL-0018	E não sou louco de me comparar com tão grandes nomes,	
OviExPont-CLL-0019	contudo não peguei em armas cruéis contra os deuses.	
OviExPont-CLL-0020	Enfim, nenhum de meus livros está falto de homenagem a César, o que ele próprio não deseja.	*
OviExPont-CLL-0021	Se tens dúvida acerca de mim, aceita os louvores aos deuses e, depois de apagado meu nome, toma o meu poema.	
OviExPont-CLL-0022	Um ramo da pacata oliveira ajuda na guerra, não me servirá de nada ter o autor da paz?	
OviExPont-CLL-0023	Quando o pescoço de Enéias estava submetido a seu pai, diz-se que a própria chama deu caminho ao varão.	
OviExPont-CLL-0024	Meu livro leva um descendente de Enéias; e não se abrirão todos os caminhos?""	
OviExPont-CLL-0025	Mas este é o pai da pátria, aquele foi só dele mesmo.	
OviExPont-CLL-0026	Por ventura há alguém tão audaz que obriga ir do umbral ao homem de Faro, que agita o sistro sonoro com sua mão?	
OviExPont-CLL-0027	Quando o flautista canta com o curvado chifre diante da mãe dos deuses, quem nega o bronze de uma pequenina moeda?	*
OviExPont-CLL-0028	Sabemos que nada semelhante ocorre por ordem de Diana;""	
OviExPont-CLL-0029	no entanto, seu adivinho tem do que viver.	
OviExPont-CLL-0030	As próprias divindades dos deuses movem nossos ânimos e não é vergonhoso ser dominado por tal crença.	
OviExPont-CLL-0031	Eis que eu, em vez de sistro e de vara furada de buxo frígio, levo os nomes veneráveis da família Júlia.	
OviExPont-CLL-0032	Profetizo e aconselho: dai lugar a quem leva coisas sagradas; não para mim, mas para um grande deus aquele é solicitado. E porque ou mereci ou senti a ira do príncipe, não julgueis que ele não quer ser cultuado por mim.""	
OviExPont-CLL-0033	Eu vi um que confessava ter ultrajado a divindade da linígera Ísis, sentado diante dos altares Isíacos.	
OviExPont-CLL-0034	Outro, privado da vista por uma culpa semelhante a esta, gritava no meio da rua que tinha merecido.	
OviExPont-CLL-0035	Os deuses gostam que se façam tais declarações em públio, para que provem com testemunha o que suas divindades valem.	
OviExPont-CLL-0036	Frequentemente aliviam o castigo e devolvem a vista que tiraram, quando veem que alguém se arrependeu bem de sua falta.	*
OviExPont-CLL-0037	Eu me arrependo, oh,	
OviExPont-CLL-0038	se se confia algo a um desgraçado, eu me arrependo e eu próprio me atormento com o que fiz.	
OviExPont-CLL-0039	E embora seja doloroso o exílio, mais dolorosa é minha culpa e sofrer o castigo é menos do que tê-lo merecido.	*
OviExPont-CLL-0040	Ainda que os deuses sejam favoráveis, dos quais ele próprio é o mais palpável, o castigo pode ser tirado, a culpa será eterna.	
OviExPont-CLL-0041	A morte, quando chegar, certamente fará que eu não seja um exilado; a morte também não fará que eu não tenha cometido um erro.""	*
OviExPont-CLL-0042	Não é, portanto, se minha mente se liquefaz como a água que flui da neve derretida.	*
OviExPont-CLL-0043	Como a nau podre é devorada por um caruncho oculto, como a onda salgada do mar cava os rochedos, como o ferro abandonado é corroído pela mordaz ferrugem, como o livro guardado é atacado pela boca da traça, assim também meu peito tem as contínuas mordidas das preocupações, pelas quais será consumido sem fim.	
OviExPont-CLL-0044	E estes martírios não abandonarão minha mente antes que a vida e o que sofre tombará mais depressa que a própria dor.	
OviExPont-CLL-0045	Se os deuses, aos quais tudo pertence, me derem crédito, talvez serei tido digno de uma modesta ajuda e serei mudado para um lugar livre do arco dos citas	
OviExPont-CLL-0046	Se eu pedir mais do que isto, serei um caradura.	
OviTrist-CLL-0001	Irás sem mim, pequeno livro (e não te odeio por isso), para a cidade, aonde, ai de mim, não é permitido a teu dono ir!	*
OviTrist-CLL-0002	Vai, mas sem adornos, como convém ser o livro de um exilado; toma, infeliz, a vestimenta desta circunstância.""""""	
OviTrist-CLL-0003	Que as tintas do mirtilo não te cubram com sua cor purpúrea (não é conveniente ao luto essa cor) e que teu título não seja assinalado pelo vermelhão, nem tuas folhas de papiro pela resina do cedro, nem tragas chifres brancos no negro fronstispício.	*
OviTrist-CLL-0004	Que estes ornamentos enfeitem os livrinhos felizes:	
OviTrist-CLL-0005	a ti convém ser a lembrança de minha fortuna.	
OviTrist-CLL-0006	Que não sejam polidas tuas duplas páginas pela frágil pedra pomes, para seres visto hirsuto com teus cabelos desgrenhados.	
OviTrist-CLL-0007	E não te envergonhes dos borrões; quem os vir, perceba que foram feitos com minhas lágrimas.""""""	
OviTrist-CLL-0008	Vai, livro, e saúda com minhas palavras os lugares agradáveis:	
OviTrist-CLL-0009	vou ao menos tocá-los com o pé com que é permitido.	
OviTrist-CLL-0010	Se alguém ali, ainda que no povo, não deslembrado de mim, se alguém houver que queira por acaso saber como eu vou, dirás que estou vivo, negarás, contudo, que eu esteja bem; que tenho também o fato de estar vivo como um presente de um deus""""""	
OviTrist-CLL-0011	E assim tu, calado, (deves ser lido por quem quer saber mais) cuidado para eventualmente não falares o que não é preciso!	*
OviTrist-CLL-0012	Imediatamente o leitor, advertido, lembrará os meus delitos e serei perseguido como um reu público pela boca do povo.	
OviTrist-CLL-0013	Tu, não te defendas, mesmo que sejas atacado com ditos mordazes:	
