sentence_id	translation	translator	sameEdition
OviExPont-CLL-0001	Nasão, habitante já não novo da terra de Tomos, envia esta obra a ti do litoral gético.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0002	Se estás desocupado, Bruto, recebe com hospitalidade estes livrinhos estrangeiros e enconde-os em algum lugar de teu agrado.	José Dejalma Dezotti	FALSE
OviExPont-CLL-0003	Eles não ousam chegar entre as obras públicas, com receio de que seu autor lhes tenha fechado este acesso.	José Dejalma Dezotti	FALSE
OviExPont-CLL-0004	Ah, quantas vezes eu disse: Por certo não ensinais nada torpe; ide, está aberto aquele local de castos versos.”	José Dejalma Dezotti	TRUE
OviExPont-CLL-0005	Eles, contudo, não vão; mas, como tu próprio vês, eles consideram que é mais seguro esconder-se sob um Lar particular.	José Dejalma Dezotti	FALSE
OviExPont-CLL-0006	Queres saber onde podes colocá-los sem que nenhum outro fique danificado?	José Dejalma Dezotti	TRUE
OviExPont-CLL-0007	Tens vazia aquela parte em que estava a minha Arte.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0008	Talvez, diante da própria novidade, perguntes por que chegam.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0009	Recebe-os, seja qual for o conteúdo, desde que não seja o amor.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0010	Descobrirás que, ainda que seu título não desperte compaixão, esta obra não é menos triste do que aquela que publiquei antes.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0011	O mesmo nos assuntos, diferente no título; e a carta, com o nome não ocultado, mostra para quem é enviada.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0012	E vós não quereis isto, mas não podeis impedir	José Dejalma Dezotti	TRUE
OviExPont-CLL-0013	e minha Musa vem em homenagem a vós, mesmo que contra a vossa vontade.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0014	O que quer que seja, acrescenta-a às minhas:	José Dejalma Dezotti	TRUE
OviExPont-CLL-0015	nada impede que os filhos de um exilado desfrute de Roma, observadas as leis.	José Dejalma Dezotti	FALSE
OviExPont-CLL-0016	Não há o que temeres:	José Dejalma Dezotti	TRUE
OviExPont-CLL-0017	Os escritos de Antônio são lidos. O douto Bruto também tem à disposição as caixas.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0018	E não sou louco de me comparar com tão grandes nomes,	José Dejalma Dezotti	TRUE
OviExPont-CLL-0019	contudo não peguei em armas cruéis contra os deuses.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0020	Enfim, nenhum de meus livros está falto de homenagem a César, o que ele próprio não deseja.	José Dejalma Dezotti	FALSE
OviExPont-CLL-0021	Se tens dúvida acerca de mim, aceita os louvores aos deuses e, depois de apagado meu nome, toma o meu poema.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0022	Um ramo da pacata oliveira ajuda na guerra, não me servirá de nada ter o autor da paz?	José Dejalma Dezotti	TRUE
OviExPont-CLL-0023	Quando o pescoço de Enéias estava submetido a seu pai, diz-se que a própria chama deu caminho ao varão.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0024	Meu livro leva um descendente de Enéias; e não se abrirão todos os caminhos?	José Dejalma Dezotti	TRUE
OviExPont-CLL-0025	Mas este é o pai da pátria, aquele foi só dele mesmo.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0026	Por ventura há alguém tão audaz que obriga ir do umbral ao homem de Faro, que agita o sistro sonoro com sua mão?	José Dejalma Dezotti	TRUE
OviExPont-CLL-0027	Quando o flautista canta com o curvado chifre diante da mãe dos deuses, quem nega o bronze de uma pequenina moeda?	José Dejalma Dezotti	FALSE
OviExPont-CLL-0028	Sabemos que nada semelhante ocorre por ordem de Diana;	José Dejalma Dezotti	TRUE
OviExPont-CLL-0029	no entanto, seu adivinho tem do que viver.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0030	As próprias divindades dos deuses movem nossos ânimos e não é vergonhoso ser dominado por tal crença.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0031	Eis que eu, em vez de sistro e de vara furada de buxo frígio, levo os nomes veneráveis da família Júlia.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0032	Profetizo e aconselho: dai lugar a quem leva coisas sagradas; não para mim, mas para um grande deus aquele é solicitado. E porque ou mereci ou senti a ira do príncipe, não julgueis que ele não quer ser cultuado por mim.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0033	Eu vi um que confessava ter ultrajado a divindade da linígera Ísis, sentado diante dos altares Isíacos.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0034	Outro, privado da vista por uma culpa semelhante a esta, gritava no meio da rua que tinha merecido.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0035	Os deuses gostam que se façam tais declarações em públio, para que provem com testemunha o que suas divindades valem.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0036	Frequentemente aliviam o castigo e devolvem a vista que tiraram, quando veem que alguém se arrependeu bem de sua falta.	José Dejalma Dezotti	FALSE
OviExPont-CLL-0037	Eu me arrependo, oh,	José Dejalma Dezotti	TRUE
OviExPont-CLL-0038	se se confia algo a um desgraçado, eu me arrependo e eu próprio me atormento com o que fiz.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0039	E embora seja doloroso o exílio, mais dolorosa é minha culpa e sofrer o castigo é menos do que tê-lo merecido.	José Dejalma Dezotti	FALSE
OviExPont-CLL-0040	Ainda que os deuses sejam favoráveis, dos quais ele próprio é o mais palpável, o castigo pode ser tirado, a culpa será eterna.	José Dejalma Dezotti	TRUE
OviExPont-CLL-0041	A morte, quando chegar, certamente fará que eu não seja um exilado; a morte também não fará que eu não tenha cometido um erro.	José Dejalma Dezotti	FALSE
OviExPont-CLL-0042	Não é, portanto, se minha mente se liquefaz como a água que flui da neve derretida.	José Dejalma Dezotti	FALSE
